name,age,gender,year,course,sleeping_time,wake_time,study_hours_per_day,diet,cleanliness,noise_tolerance,guest_freq,introvert_extrovert,study_time,friends_in_room
Ayush Bhadouriya,19,Female,2nd year,Mechanical Engineering,2:00 AM,10:00 AM,3,nonveg,2,4,often,5,night,Yes
Abhishek Afreen,20,Female,3rd year,English Literature,10:30 PM,5:00 AM,6,veg,2,3,sometimes,3,morning,Yes
Prabhakar Kalsi,21,Male,4th year,Electrical Engineering,5:00 AM,1:30 PM,5,no_pref,3,1,sometimes,1,night,No
Harshraj Ashraf,22,Male,4th year,Mathematics,11:30 PM,6:30 AM,3,eggetarian,2,5,often,4,afternoon,Yes
Rupali Mahankali,21,Female,4th year,Business Administration,3:30 AM,12:00 PM,3,nonveg,4,2,sometimes,2,night,No
Robin Islam,20,Female,4th year,English Literature,1:00 AM,8:30 AM,1,veg,4,4,often,4,night,Yes
Utpal Malviya,21,Male,4th year,Mechanical Engineering,10:30 PM,5:30 AM,2,vegan,5,3,sometimes,4,morning,No
Kriti Akhtar,20,Female,3rd year,Computer Science,1:30 AM,9:30 AM,3,nonveg,2,4,often,3,night,Yes
Sumeet Kotturu,19,Female,3rd year,Biology,1:30 AM,9:30 AM,7,nonveg,3,4,sometimes,1,night,No
Subash Dutta,20,Female,3rd year,Business Administration,11:30 PM,6:30 AM,3,eggetarian,3,3,sometimes,3,afternoon,Yes
Shazia Rasheed,19,Male,2nd year,Mathematics,10:30 PM,5:00 AM,6,veg,3,1,never,1,afternoon,No
Anubhav Dhiman,19,Female,2nd year,Psychology,10:30 PM,6:00 AM,3,eggetarian,3,3,sometimes,5,morning,Yes
Sowjanya Kansal,20,Female,2nd year,Psychology,1:30 AM,8:30 AM,5,veg,3,1,sometimes,3,night,Yes
Ankurjeet Barman,18,Female,1st year,Mechanical Engineering,1:00 AM,9:30 AM,5,nonveg,3,2,never,2,night,No
Mahima Ganapathy,18,Female,1st year,Electrical Engineering,1:30 AM,9:00 AM,1,vegan,3,3,sometimes,4,night,Yes
Surbhi Rathore,18,Non-binary,1st year,Computer Science,10:30 PM,5:30 AM,2,nonveg,5,4,sometimes,3,afternoon,Yes
Suryakant Arif,21,Female,4th year,Psychology,11:00 PM,5:30 AM,4,nonveg,3,2,sometimes,3,afternoon,Yes
Atiq Agrahari,19,Female,1st year,Business Administration,11:30 PM,6:00 AM,6,nonveg,4,2,never,2,afternoon,No
Divyam Trivedi,20,Female,3rd year,Biology,12:00 AM,6:30 AM,4,veg,4,5,sometimes,4,afternoon,Yes
Shyamal Chaurasia,20,Female,3rd year,Biology,11:00 PM,6:00 AM,4,nonveg,3,3,sometimes,3,afternoon,No
Aaditya Lakhmani,21,Female,4th year,English Literature,1:00 AM,7:30 AM,1,nonveg,4,5,sometimes,4,night,Yes
Sankalp Keshari,19,Female,2nd year,Biology,11:30 PM,7:30 AM,5,nonveg,4,2,sometimes,2,afternoon,Yes
Archit Mahajan,18,Female,1st year,English Literature,2:30 AM,11:00 AM,3,nonveg,4,4,sometimes,5,night,No
Afzan Bugalia,19,Male,2nd year,Electrical Engineering,1:00 AM,9:00 AM,1,veg,4,4,often,5,afternoon,Yes
Satendra Putta,22,Female,4th year,Psychology,2:30 AM,11:00 AM,6,nonveg,4,4,never,2,night,No
Chaitanya Nigam,22,Female,4th year,Psychology,3:00 AM,1:00 PM,6,eggetarian,3,1,never,1,night,Yes
Sharique Upadhyay,20,Non-binary,3rd year,Mathematics,2:30 AM,10:00 AM,2,nonveg,3,5,sometimes,4,night,Yes
Munthala Indora,19,Male,2nd year,Business Administration,1:00 AM,9:00 AM,2,veg,3,5,sometimes,4,night,Yes
Mohsin Waybhase,21,Female,4th year,Chemistry,2:30 AM,9:30 AM,4,nonveg,3,3,sometimes,3,night,No
Puneet Wadhawan,23,Male,4th year,Chemistry,2:30 AM,10:30 AM,5,nonveg,4,1,sometimes,3,night,No
Ritank Bhushan,21,Male,3rd year,Mathematics,11:00 PM,6:00 AM,3,nonveg,3,5,sometimes,4,morning,Yes
Sidhi Macharla,21,Male,4th year,Mechanical Engineering,12:00 AM,7:00 AM,5,nonveg,4,2,never,3,afternoon,No
Priyesh Thawani,19,Male,3rd year,Electrical Engineering,12:00 AM,6:30 AM,6,veg,3,2,never,3,afternoon,No
Febin Joseph,21,Male,4th year,Chemistry,11:00 PM,7:00 AM,4,veg,2,3,sometimes,3,afternoon,No
Vidushi Mitra,19,Male,2nd year,English Literature,2:30 AM,10:00 AM,1,nonveg,4,4,never,4,night,Yes
Atif Bais,20,Male,3rd year,Electrical Engineering,1:30 AM,8:30 AM,5,nonveg,3,4,sometimes,3,afternoon,Yes
Jami Joseph,20,Male,3rd year,Computer Science,1:30 AM,9:30 AM,5,nonveg,2,2,never,1,night,Yes
Atul Gayathri,18,Non-binary,1st year,English Literature,2:00 AM,9:00 AM,4,veg,1,2,sometimes,1,night,Yes
Kanchan Rakhecha,20,Male,3rd year,Electrical Engineering,3:30 AM,11:30 AM,3,nonveg,4,3,never,3,night,No
Sangeeth Khaliq,19,Male,3rd year,Psychology,11:00 PM,6:30 AM,6,veg,2,2,sometimes,2,morning,No
Rajkumar Jose,20,Male,3rd year,Mathematics,1:30 AM,8:00 AM,5,nonveg,4,3,sometimes,2,night,No
Surbhi Ahmad,22,Female,4th year,Chemistry,10:30 PM,6:30 AM,2,veg,3,4,sometimes,4,morning,Yes
Ayan Aenugu,18,Female,1st year,Mathematics,10:00 PM,6:00 AM,6,veg,3,1,sometimes,1,morning,No
Rituraj Jadhav,18,Female,1st year,Business Administration,11:30 PM,7:30 AM,6,veg,4,2,never,2,afternoon,No
Vartika Bhriguvanshi,19,Female,2nd year,Mechanical Engineering,10:30 PM,7:30 AM,4,nonveg,3,4,sometimes,4,morning,Yes
Navodit Jodha,19,Male,3rd year,Business Administration,12:00 AM,8:00 AM,1,veg,3,2,never,4,afternoon,No
Preeti Belide,18,Male,1st year,Electrical Engineering,11:30 PM,6:30 AM,5,nonveg,3,1,never,2,night,No
Subham Pathak,19,Male,2nd year,Mathematics,1:30 AM,9:30 AM,7,nonveg,4,2,sometimes,1,night,No
Rashmi Rathore,19,Female,2nd year,Biology,9:30 PM,5:30 AM,7,veg,3,1,sometimes,1,morning,No
Balbir Khaliq,19,Female,2nd year,Business Administration,10:00 PM,4:30 AM,5,nonveg,3,2,never,2,morning,No
Ahad Maddeshiya,19,Female,2nd year,Chemistry,2:30 AM,10:30 AM,6,eggetarian,2,1,sometimes,2,night,No
Durga Wasif,18,Male,1st year,Electrical Engineering,10:30 PM,6:00 AM,4,eggetarian,3,4,sometimes,3,morning,No
Shibashis Oswal,20,Male,4th year,Computer Science,10:00 PM,6:30 AM,3,nonveg,4,3,sometimes,3,morning,Yes
Harshvardhan Dikshit,22,Female,4th year,Business Administration,10:30 PM,5:30 AM,5,nonveg,3,4,never,1,morning,No
Sonika Malekar,18,Male,1st year,Mechanical Engineering,11:30 PM,7:30 AM,2,nonveg,3,4,sometimes,4,afternoon,No
Moosvi Sasidharan,21,Female,4th year,Psychology,1:30 AM,10:00 AM,4,nonveg,4,2,never,1,night,No
Vidushi Hanif,18,Male,2nd year,Mechanical Engineering,1:30 AM,10:00 AM,7,nonveg,4,2,sometimes,3,night,Yes
Sushmita Talwar,20,Female,3rd year,Psychology,1:00 AM,9:00 AM,5,nonveg,2,2,never,2,night,No
Kenisha Bhriguvanshi,19,Non-binary,2nd year,Psychology,11:00 PM,6:00 AM,6,nonveg,4,3,sometimes,1,morning,No
Shaad Sankary,18,Male,1st year,Electrical Engineering,10:30 PM,7:00 AM,8,nonveg,4,3,often,3,morning,Yes
Rakhee Bhat,20,Male,3rd year,Computer Science,10:00 PM,6:00 AM,2,nonveg,4,3,often,3,morning,Yes
Akash Uppal,20,Male,3rd year,Business Administration,10:00 PM,6:30 AM,2,veg,4,4,often,4,afternoon,Yes
Siddharth Panesar,20,Male,3rd year,Computer Science,11:00 PM,7:30 AM,6,no_pref,3,4,sometimes,3,afternoon,No
Kushal Vishal,21,Male,4th year,English Literature,10:00 PM,6:00 AM,4,nonveg,2,3,never,3,morning,No
Vratanshi Durgavanshi,21,Male,4th year,Chemistry,12:00 AM,9:00 AM,2,vegan,3,5,often,4,night,Yes
Pradosh Sareen,21,Female,4th year,Biology,10:00 PM,6:00 AM,4,veg,2,3,sometimes,3,morning,No
Shubhanshu Siraj,19,Male,2nd year,English Literature,11:00 PM,5:30 AM,3,nonveg,4,5,sometimes,2,morning,No
Neharika Chandran,18,Male,1st year,Psychology,2:00 AM,9:00 AM,3,veg,3,5,often,5,night,Yes
Yachna Veerepalli,20,Male,3rd year,Biology,12:30 AM,7:30 AM,8,nonveg,5,3,sometimes,2,night,No
Mohandas Virani,18,Male,1st year,Business Administration,11:30 PM,8:00 AM,7,veg,3,2,sometimes,2,night,Yes
Lekhraj Khatoon,22,Male,4th year,Chemistry,1:00 AM,8:30 AM,8,veg,4,2,never,2,night,No
Rajamani Magdum,19,Male,2nd year,Business Administration,11:30 PM,8:00 AM,1,eggetarian,4,4,sometimes,4,afternoon,Yes
Soudeep Aenugu,18,Male,2nd year,Electrical Engineering,12:30 AM,8:30 AM,6,veg,3,4,sometimes,3,night,No
Atishay Ansari,21,Female,3rd year,Mathematics,10:30 PM,7:00 AM,3,veg,2,5,sometimes,5,morning,Yes
Tamanna Tangirala,18,Male,1st year,Mathematics,12:30 AM,9:30 AM,4,nonveg,2,4,often,5,night,Yes
Manu Jamloki,19,Male,3rd year,Biology,10:30 PM,6:30 AM,4,veg,4,1,sometimes,1,morning,No
Mangal Pant,18,Female,1st year,Biology,10:30 PM,5:00 AM,3,nonveg,3,3,sometimes,3,afternoon,Yes
Ronit Kanchhal,18,Female,1st year,Biology,10:00 PM,6:30 AM,2,veg,4,3,often,4,morning,No
Tejas Shankar,19,Male,2nd year,Electrical Engineering,2:30 AM,10:30 AM,2,veg,2,5,sometimes,5,night,Yes
Lekhraj Vasistha,21,Female,4th year,Biology,10:00 PM,5:30 AM,5,veg,4,2,sometimes,5,morning,No
Nagjibhai Tulshidas,21,Female,4th year,Biology,1:00 AM,9:30 AM,3,nonveg,4,4,sometimes,4,night,No
Gaurav Chavan,20,Female,3rd year,Chemistry,11:30 PM,7:00 AM,5,nonveg,4,3,sometimes,3,afternoon,Yes
Kishan Quraishi,18,Male,1st year,Mechanical Engineering,10:30 PM,6:00 AM,4,nonveg,5,2,often,2,morning,Yes
Vibha Choubey,18,Male,1st year,Business Administration,11:00 PM,6:30 AM,1,no_pref,3,5,often,4,afternoon,Yes
Abrar Hosur,19,Female,2nd year,Psychology,11:30 PM,6:30 AM,3,nonveg,3,3,sometimes,3,afternoon,Yes
Archita Sitaram,19,Female,2nd year,Mathematics,12:00 AM,8:00 AM,2,nonveg,3,3,often,4,night,Yes
Priyanshi Jauhari,19,Female,2nd year,Electrical Engineering,11:00 PM,7:00 AM,6,veg,2,3,sometimes,3,afternoon,Yes
Priyanshi Dhinoja,20,Male,3rd year,Mechanical Engineering,10:30 PM,6:00 AM,3,veg,2,5,often,5,morning,Yes
Akshaya Chellani,21,Non-binary,3rd year,Chemistry,11:30 PM,8:30 AM,5,veg,5,2,never,3,afternoon,No
Shalini Masood,20,Female,3rd year,English Literature,11:00 PM,6:00 AM,4,nonveg,4,5,sometimes,3,morning,No
Anjana Priyadarshini,19,Male,2nd year,Psychology,2:30 AM,9:30 AM,2,veg,4,3,sometimes,5,night,Yes
Swarag Verma,18,Non-binary,1st year,Mechanical Engineering,12:00 AM,7:30 AM,5,nonveg,2,2,never,3,night,No
Bhoopendra Kidwai,22,Female,4th year,Mechanical Engineering,2:30 AM,10:00 AM,6,nonveg,4,2,never,1,night,No
Manvendra Magdum,18,Female,1st year,Business Administration,1:30 AM,9:00 AM,7,nonveg,3,4,never,1,night,No
Geetika Prasad,19,Male,2nd year,Psychology,11:00 PM,7:00 AM,3,no_pref,4,3,often,5,afternoon,Yes
Sapna Chaurasiya,18,Male,1st year,Computer Science,11:30 PM,7:00 AM,3,nonveg,4,4,sometimes,5,afternoon,No
Shriya Bhadauriya,19,Male,2nd year,Computer Science,12:00 AM,6:30 AM,4,nonveg,4,4,sometimes,4,afternoon,Yes
Gurvansh Ahmad,19,Non-binary,2nd year,Chemistry,2:00 AM,10:00 AM,3,nonveg,3,2,sometimes,5,night,Yes
Ravinderpreet Bapna,18,Male,2nd year,Biology,8:30 PM,4:00 AM,5,no_pref,4,2,sometimes,3,morning,No
Laxmi Bhadouriya,21,Female,4th year,English Literature,12:30 AM,8:30 AM,3,eggetarian,3,4,often,4,afternoon,Yes
Palata Munir,18,Male,2nd year,Business Administration,10:30 PM,6:30 AM,4,eggetarian,2,4,sometimes,4,afternoon,Yes
Rouby Hanif,18,Female,1st year,English Literature,9:30 PM,6:00 AM,6,nonveg,3,3,never,1,morning,No
Mahendra Purwar,17,Male,1st year,Mathematics,12:00 AM,8:00 AM,4,veg,3,4,sometimes,5,afternoon,Yes
Jivani Tulshidas,17,Male,1st year,Biology,1:30 AM,8:30 AM,6,nonveg,4,3,sometimes,2,night,No
Vidit Kashyap,21,Non-binary,4th year,Business Administration,1:30 AM,10:30 AM,8,veg,2,3,sometimes,1,night,Yes
Priyesh Ahuja,20,Male,4th year,Computer Science,1:30 AM,8:30 AM,8,nonveg,1,3,never,2,night,Yes
Soniya Hasija,21,Female,4th year,Electrical Engineering,11:00 PM,6:30 AM,5,veg,4,2,often,3,morning,Yes
Eshma Desabathula,19,Male,1st year,Electrical Engineering,12:00 AM,7:30 AM,6,nonveg,4,3,never,1,night,No
Siddhi Praveenchand,21,Male,4th year,Biology,2:00 AM,9:30 AM,3,nonveg,3,3,often,3,night,Yes
Shaqib Attraa,18,Male,2nd year,English Literature,1:00 AM,8:00 AM,3,veg,3,3,sometimes,2,night,No
Ashay Kanojia,17,Male,1st year,Electrical Engineering,11:30 PM,8:00 AM,3,nonveg,4,5,sometimes,5,afternoon,Yes
Hemanshu Azmi,18,Male,1st year,Chemistry,11:30 PM,8:00 AM,2,eggetarian,5,4,sometimes,4,afternoon,Yes
Yashika Dhindhwal,19,Male,2nd year,Biology,12:30 AM,8:30 AM,5,nonveg,2,2,sometimes,3,afternoon,No
Nirlipta Sachan,21,Female,4th year,Mechanical Engineering,9:30 PM,5:30 AM,4,veg,3,3,never,3,morning,No
Jenamani Souza,18,Female,1st year,Psychology,2:30 AM,9:30 AM,6,nonveg,4,2,sometimes,1,night,No
Jaya Joseph,20,Female,2nd year,Biology,12:00 AM,8:00 AM,4,eggetarian,3,4,often,4,afternoon,Yes
Amrita Pathak,19,Male,2nd year,Mathematics,2:30 AM,9:30 AM,1,eggetarian,3,5,often,4,night,Yes
Anshika Verma,22,Male,4th year,Electrical Engineering,1:30 AM,9:00 AM,4,nonveg,3,2,never,1,night,No
Uday Puri,20,Male,3rd year,Mechanical Engineering,1:30 AM,9:00 AM,5,nonveg,2,1,never,2,night,No
Ramadoss Mahmood,21,Male,4th year,Business Administration,1:30 AM,9:30 AM,1,veg,3,3,often,4,night,Yes
Amrit Dev,18,Female,1st year,Business Administration,3:00 AM,11:00 AM,7,veg,4,2,sometimes,2,night,No
Monish Keshwani,18,Male,1st year,Electrical Engineering,12:00 AM,7:30 AM,7,veg,2,3,never,2,night,No
Srijan Kulal,21,Female,4th year,Biology,11:00 PM,7:00 AM,4,veg,3,3,never,3,morning,No
Jag Bhatnagar,21,Male,3rd year,Mathematics,10:30 PM,7:00 AM,7,nonveg,4,2,sometimes,2,morning,No
Babli Chaturvedi,18,Male,1st year,Computer Science,11:00 PM,5:30 AM,4,nonveg,2,1,never,1,morning,No
Shalin Thakur,20,Male,3rd year,Mechanical Engineering,11:30 PM,8:30 AM,5,nonveg,3,4,sometimes,3,afternoon,No
Aakanksha Raykar,20,Female,3rd year,Mechanical Engineering,2:00 AM,9:30 AM,1,veg,2,4,often,4,night,Yes
Shakkil Jeykumaran,20,Female,3rd year,Mathematics,10:30 PM,7:30 AM,6,nonveg,3,3,sometimes,3,morning,Yes
Bramoni Mahajan,21,Female,4th year,Biology,1:00 AM,8:30 AM,7,nonveg,5,3,sometimes,1,night,Yes
Janhvi Tibrewal,17,Male,1st year,Electrical Engineering,10:30 PM,6:30 AM,4,nonveg,3,4,sometimes,3,afternoon,Yes
Pragun Francis,20,Female,3rd year,Mathematics,12:00 AM,8:30 AM,6,veg,5,2,never,1,afternoon,Yes
Abhisikta Durgavansh,17,Male,1st year,Business Administration,10:00 PM,6:00 AM,6,veg,3,2,sometimes,2,morning,No
Amisha Gayathri,21,Male,4th year,Chemistry,11:00 PM,7:00 AM,5,nonveg,4,3,sometimes,3,morning,Yes
Mahesh Mhaske,22,Female,4th year,Psychology,12:30 AM,9:30 AM,6,veg,5,3,never,1,night,No
Nishchay Bhadauriya,20,Female,3rd year,Biology,2:00 AM,10:00 AM,1,nonveg,2,4,sometimes,4,night,No
Sugathan Mittal,19,Male,2nd year,Chemistry,2:00 AM,9:30 AM,6,veg,3,3,sometimes,3,night,No
Zufeshan Menon,19,Male,2nd year,Business Administration,11:00 PM,6:00 AM,6,veg,3,1,sometimes,2,afternoon,Yes
Nishchay Tomar,20,Male,3rd year,Chemistry,10:00 PM,5:00 AM,2,nonveg,3,4,sometimes,4,afternoon,Yes
Kalpana Ali,20,Male,3rd year,Mechanical Engineering,3:00 AM,11:30 AM,3,veg,4,4,sometimes,3,night,No
Stalin Gite,19,Female,2nd year,Biology,12:00 AM,7:30 AM,3,nonveg,4,4,often,5,afternoon,Yes
Shubhangi Alam,18,Male,1st year,Chemistry,11:00 PM,8:00 AM,3,nonveg,3,5,sometimes,4,morning,Yes
Angad Tiwari,19,Male,2nd year,Computer Science,11:30 PM,7:00 AM,5,veg,4,1,never,2,night,No
Prassanna Kisshan,18,Male,1st year,Mechanical Engineering,12:00 AM,7:00 AM,4,veg,3,2,never,2,afternoon,No
Shreyans Adhaulia,18,Female,2nd year,Business Administration,11:30 PM,6:00 AM,2,veg,3,3,often,4,afternoon,Yes
Saddam Shoaib,20,Female,3rd year,Mechanical Engineering,2:00 AM,8:00 AM,1,nonveg,4,5,often,4,night,Yes
Sejal Bhatnagar,21,Male,4th year,Mechanical Engineering,1:30 AM,8:30 AM,4,nonveg,2,4,sometimes,3,night,No
Vidya Rehman,20,Female,3rd year,Business Administration,12:30 AM,7:30 AM,3,nonveg,2,4,sometimes,4,afternoon,No
Subodh Sood,21,Female,4th year,English Literature,11:30 PM,7:00 AM,3,veg,3,2,sometimes,3,morning,No
Jahanvi Banothu,20,Male,4th year,Computer Science,11:00 PM,5:30 AM,2,nonveg,3,4,never,3,afternoon,No
Simaran Govil,20,Female,3rd year,English Literature,3:00 AM,11:00 AM,4,nonveg,5,3,never,3,night,No
Amarnath Middinti,18,Female,1st year,Biology,1:30 AM,9:30 AM,6,nonveg,4,1,never,2,night,No
Naini Sanwal,20,Male,3rd year,Computer Science,1:00 AM,9:30 AM,6,nonveg,3,2,never,1,night,No
Soumyadeep Suchi,21,Female,4th year,Chemistry,12:30 AM,8:00 AM,6,veg,5,3,never,2,night,No
Kashish Suresh,22,Female,4th year,Computer Science,10:30 PM,7:30 AM,2,no_pref,3,3,sometimes,4,afternoon,Yes
Prabhakar Sinha,19,Male,2nd year,Computer Science,10:30 PM,6:00 AM,4,nonveg,4,2,often,3,afternoon,Yes
Saurabh Panesar,19,Male,2nd year,Mechanical Engineering,11:00 PM,7:30 AM,3,nonveg,3,3,sometimes,3,afternoon,Yes
Neeraj Meharda,18,Female,1st year,Biology,11:30 PM,6:30 AM,5,eggetarian,4,4,often,5,afternoon,Yes
Manas Nath,19,Female,2nd year,Mechanical Engineering,2:30 AM,10:00 AM,5,eggetarian,2,4,sometimes,3,night,No
Apratim Siddiqui,21,Male,4th year,Chemistry,10:00 PM,5:30 AM,5,eggetarian,3,2,sometimes,2,morning,No
Stalin Dohrey,21,Female,4th year,English Literature,1:30 AM,9:00 AM,5,nonveg,4,5,sometimes,3,night,No
Anikrishna Mukhopadhyay,20,Male,3rd year,Psychology,1:00 AM,8:00 AM,2,nonveg,1,3,never,4,night,No
Manshi Nasreen,20,Female,2nd year,Psychology,2:00 AM,9:00 AM,3,veg,2,4,sometimes,3,night,No
Manaswini Sarma,20,Male,3rd year,Biology,10:30 PM,5:30 AM,3,eggetarian,4,3,often,3,morning,Yes
Anand Gite,20,Male,3rd year,Mechanical Engineering,10:30 PM,6:30 AM,1,veg,4,3,sometimes,4,night,Yes
Aakanksha Pereddy,21,Male,4th year,Chemistry,11:30 PM,7:00 AM,7,veg,3,2,never,2,afternoon,No
Ram Agarwal,20,Male,3rd year,Chemistry,12:30 AM,8:00 AM,6,nonveg,1,3,sometimes,2,night,No
Namrata Bhatt,19,Male,2nd year,Mechanical Engineering,12:30 AM,7:30 AM,2,veg,3,2,sometimes,3,night,No
Pragun Srivastav,21,Male,4th year,Computer Science,2:30 AM,9:30 AM,4,veg,3,4,often,4,night,Yes
Ajith Keshri,21,Female,4th year,Psychology,12:30 AM,8:30 AM,5,no_pref,3,2,sometimes,2,night,No
Sahil Verma,18,Female,1st year,Mathematics,11:30 PM,7:30 AM,5,veg,4,2,sometimes,2,afternoon,Yes
Utsav Guduri,18,Female,2nd year,Biology,1:30 AM,8:30 AM,4,veg,4,2,sometimes,1,night,No
Aadil Manchikanti,20,Male,3rd year,Chemistry,11:30 PM,6:30 AM,6,nonveg,4,3,never,2,afternoon,No
Rajat Deshmukh,17,Male,1st year,Electrical Engineering,1:30 AM,8:30 AM,4,veg,4,2,never,1,night,No
Shrinivas Warsi,18,Female,1st year,Psychology,3:00 AM,11:00 AM,2,nonveg,2,3,often,4,night,Yes
Shubhendu Kushalappa,22,Female,4th year,Electrical Engineering,11:30 PM,7:30 AM,6,veg,4,3,sometimes,3,afternoon,No
Susheel Durgavansh,22,Female,4th year,Computer Science,1:00 AM,8:30 AM,2,eggetarian,5,4,often,5,night,Yes
Mridul Akolkar,19,Female,3rd year,Biology,11:00 PM,5:30 AM,6,nonveg,4,2,never,2,night,No
Bhumika Kochar,18,Male,1st year,Biology,11:00 PM,6:00 AM,5,nonveg,2,2,sometimes,3,morning,No
Shivam Mangla,21,Female,4th year,Biology,12:00 AM,8:00 AM,4,veg,3,4,sometimes,4,afternoon,Yes
Abdur Dahiya,20,Female,3rd year,Computer Science,10:00 PM,5:00 AM,4,nonveg,2,3,never,2,morning,No
Rituraj Barman,21,Male,4th year,English Literature,9:30 PM,5:30 AM,5,veg,4,2,sometimes,3,morning,No
Shruti Mehta,21,Female,4th year,English Literature,11:00 PM,6:00 AM,6,nonveg,1,2,sometimes,1,afternoon,No
Shikha Dubey,20,Female,3rd year,English Literature,11:00 PM,6:00 AM,6,no_pref,3,3,sometimes,2,morning,No
Divakar Ashraf,21,Female,3rd year,English Literature,1:30 AM,8:00 AM,4,nonveg,1,2,sometimes,1,night,No
Narendra Deo,20,Female,3rd year,Electrical Engineering,11:30 PM,7:30 AM,3,nonveg,4,4,often,4,afternoon,Yes
Krishan Jajoo,18,Male,1st year,Mathematics,2:30 AM,10:30 AM,2,eggetarian,3,3,sometimes,4,night,Yes
Devansh Rawat,20,Female,2nd year,Mathematics,11:30 PM,6:30 AM,5,nonveg,3,2,sometimes,3,afternoon,Yes
Inderveer Kairati,18,Male,1st year,Mathematics,10:00 PM,5:30 AM,5,nonveg,2,2,sometimes,2,morning,No
Prateek Gangwal,18,Female,1st year,Electrical Engineering,10:30 PM,5:00 AM,6,nonveg,2,2,never,1,morning,No
Nirlipta Barai,20,Male,3rd year,Mathematics,12:00 AM,8:30 AM,4,nonveg,4,2,sometimes,2,afternoon,No
Faizan Bhardwaj,19,Male,2nd year,English Literature,12:30 AM,9:30 AM,4,nonveg,2,3,often,4,night,Yes
Shalini Jafri,20,Female,3rd year,Biology,11:30 PM,8:00 AM,3,veg,4,4,often,4,afternoon,Yes
Ashal Alwadhi,20,Female,3rd year,English Literature,11:30 PM,6:00 AM,3,nonveg,4,3,sometimes,3,morning,No
Sivaganesh Keshwani,18,Female,1st year,Chemistry,12:00 AM,8:00 AM,6,nonveg,3,2,sometimes,2,morning,No
Pardhuman Tulshidas,21,Male,4th year,Electrical Engineering,1:30 AM,10:30 AM,5,veg,3,2,often,3,night,Yes
Shivin Rawat,19,Male,2nd year,Computer Science,10:00 PM,5:00 AM,6,eggetarian,1,2,never,2,morning,No
Purvi Raza,20,Female,3rd year,Business Administration,2:30 AM,10:30 AM,4,nonveg,3,3,never,3,night,No
Anchal Sarraf,22,Male,4th year,Mechanical Engineering,10:30 PM,6:00 AM,4,veg,3,3,sometimes,3,morning,No
Disha Rakhecha,19,Female,2nd year,Psychology,2:00 AM,10:30 AM,6,nonveg,3,2,never,2,night,No
Rajveer Ansari,21,Female,4th year,Mechanical Engineering,12:30 AM,9:00 AM,6,nonveg,3,5,sometimes,5,afternoon,Yes
Pallavi Rana,21,Male,4th year,Mathematics,3:00 AM,9:30 AM,5,nonveg,4,1,sometimes,2,night,No
Yashovardhan Inavolu,20,Male,3rd year,Business Administration,12:00 AM,8:00 AM,2,nonveg,3,4,sometimes,3,afternoon,No
Kausar Shrivas,17,Female,1st year,Electrical Engineering,3:00 AM,10:30 AM,3,veg,3,3,often,5,night,Yes
Rishabh Kanchan,21,Male,4th year,Psychology,1:30 AM,8:30 AM,3,nonveg,2,3,often,5,night,Yes
Hitesh Kalsi,20,Male,3rd year,Electrical Engineering,11:30 PM,7:00 AM,3,nonveg,5,4,sometimes,4,afternoon,Yes
Pragun Kamble,20,Female,3rd year,Chemistry,10:30 PM,7:00 AM,4,nonveg,4,2,never,1,afternoon,No
