name,study_hours_per_day,cleanliness,noise_tolerance,introvert_extrovert,year,guest_freq,gender_Female,gender_Male,gender_Non-binary,diet_eggetarian,diet_no_pref,diet_nonveg,diet_veg,diet_vegan,study_time_afternoon,study_time_morning,study_time_night,sleep_sin,sleep_cos
Ayush Bhadouriya,0.2222,0.5,1.125,1.0,0.3333,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Abhishek Afreen,0.5556,0.5,0.75,0.5,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.6888,1.663
Prabhakar Kalsi,0.4444,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,1.7387,0.4659
Harshraj Ashraf,0.2222,0.5,1.5,0.75,1.0,1.0,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Rupali Mahankali,0.2222,1.5,0.375,0.25,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.428,1.0958
Robin Islam,0.0,1.5,1.125,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.4659,1.7387
Utpal Malviya,0.1111,2.0,0.75,0.75,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,-0.6888,1.663
Kriti Akhtar,0.2222,0.5,1.125,0.5,0.6667,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Sumeet Kotturu,0.6667,1.0,1.125,0.0,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Subash Dutta,0.2222,1.0,0.75,0.5,0.6667,0.5,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Shazia Rasheed,0.5556,1.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.6888,1.663
Anubhav Dhiman,0.2222,1.0,0.75,1.0,0.3333,0.5,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Sowjanya Kansal,0.4444,1.0,0.0,0.5,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.6888,1.663
Ankurjeet Barman,0.4444,1.0,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Mahima Ganapathy,0.0,1.0,0.75,0.75,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.6888,1.663
Surbhi Rathore,0.1111,2.0,1.125,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.6888,1.663
Suryakant Arif,0.3333,1.0,0.375,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Atiq Agrahari,0.5556,1.5,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Divyam Trivedi,0.3333,1.5,1.5,0.75,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,1.8
Shyamal Chaurasia,0.3333,1.0,0.75,0.5,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Aaditya Lakhmani,0.0,1.5,1.5,0.75,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Sankalp Keshari,0.4444,1.5,0.375,0.25,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Archit Mahajan,0.2222,1.5,1.125,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Afzan Bugalia,0.0,1.5,1.125,1.0,0.3333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.4659,1.7387
Satendra Putta,0.5556,1.5,1.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Chaitanya Nigam,0.5556,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2728,1.2728
Sharique Upadhyay,0.1111,1.0,1.5,0.75,0.6667,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Munthala Indora,0.1111,1.0,1.5,0.75,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.4659,1.7387
Mohsin Waybhase,0.3333,1.0,0.75,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Puneet Wadhawan,0.4444,1.5,0.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Ritank Bhushan,0.2222,1.0,1.5,0.75,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Sidhi Macharla,0.4444,1.5,0.375,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,1.8
Priyesh Thawani,0.5556,1.0,0.375,0.5,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,1.8
Febin Joseph,0.3333,0.5,0.75,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.4659,1.7387
Vidushi Mitra,0.0,1.5,1.125,0.75,0.3333,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Atif Bais,0.4444,1.0,1.125,0.5,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.6888,1.663
Jami Joseph,0.4444,0.5,0.375,0.0,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Atul Gayathri,0.3333,0.0,0.375,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.9,1.5588
Kanchan Rakhecha,0.2222,1.5,0.75,0.5,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.428,1.0958
Sangeeth Khaliq,0.5556,0.5,0.375,0.25,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.4659,1.7387
Rajkumar Jose,0.4444,1.5,0.75,0.25,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Surbhi Ahmad,0.1111,1.0,1.125,0.75,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.6888,1.663
Ayan Aenugu,0.5556,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Rituraj Jadhav,0.5556,1.5,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.2349,1.7846
Vartika Bhriguvanshi,0.3333,1.0,1.125,0.75,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Navodit Jodha,0.0,1.0,0.375,0.75,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,1.8
Preeti Belide,0.4444,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,-0.2349,1.7846
Subham Pathak,0.6667,1.5,0.375,0.0,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Rashmi Rathore,0.6667,1.0,0.0,0.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-1.0958,1.428
Balbir Khaliq,0.4444,1.0,0.375,0.25,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Ahad Maddeshiya,0.5556,0.5,0.0,0.25,0.3333,0.5,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Durga Wasif,0.3333,1.0,1.125,0.5,0.0,0.5,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Shibashis Oswal,0.2222,1.5,0.75,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Harshvardhan Dikshit,0.4444,1.0,1.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Sonika Malekar,0.1111,1.0,1.125,0.75,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Moosvi Sasidharan,0.3333,1.5,0.375,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Vidushi Hanif,0.6667,1.5,0.375,0.5,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Sushmita Talwar,0.4444,0.5,0.375,0.25,0.6667,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Kenisha Bhriguvanshi,0.5556,1.5,0.75,0.0,0.3333,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Shaad Sankary,0.7778,1.5,0.75,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Rakhee Bhat,0.1111,1.5,0.75,0.5,0.6667,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Akash Uppal,0.1111,1.5,1.125,0.75,0.6667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.9,1.5588
Siddharth Panesar,0.5556,1.0,1.125,0.5,0.6667,0.5,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Kushal Vishal,0.3333,0.5,0.75,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Vratanshi Durgavanshi,0.1111,1.0,1.5,0.75,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,1.8
Pradosh Sareen,0.3333,0.5,0.75,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Shubhanshu Siraj,0.2222,1.5,1.5,0.25,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Neharika Chandran,0.2222,1.0,1.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.9,1.5588
Yachna Veerepalli,0.7778,2.0,0.75,0.25,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.2349,1.7846
Mohandas Virani,0.6667,1.0,0.375,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,-0.2349,1.7846
Lekhraj Khatoon,0.7778,1.5,0.375,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.4659,1.7387
Rajamani Magdum,0.0,1.5,1.125,0.75,0.3333,0.5,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Soudeep Aenugu,0.5556,1.0,1.125,0.5,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.2349,1.7846
Atishay Ansari,0.2222,0.5,1.5,1.0,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.6888,1.663
Tamanna Tangirala,0.3333,0.5,1.125,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.2349,1.7846
Manu Jamloki,0.3333,1.5,0.0,0.0,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.6888,1.663
Mangal Pant,0.2222,1.0,0.75,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.6888,1.663
Ronit Kanchhal,0.1111,1.5,0.75,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Tejas Shankar,0.1111,0.5,1.5,1.0,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,1.0958,1.428
Lekhraj Vasistha,0.4444,1.5,0.375,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Nagjibhai Tulshidas,0.2222,1.5,1.125,0.75,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Gaurav Chavan,0.4444,1.5,0.75,0.5,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Kishan Quraishi,0.3333,2.0,0.375,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Vibha Choubey,0.0,1.0,1.5,0.75,0.0,1.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Abrar Hosur,0.2222,1.0,0.75,0.5,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Archita Sitaram,0.1111,1.0,0.75,0.75,0.3333,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.8
Priyanshi Jauhari,0.5556,0.5,0.75,0.5,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.4659,1.7387
Priyanshi Dhinoja,0.2222,0.5,1.5,1.0,0.6667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.6888,1.663
Akshaya Chellani,0.4444,2.0,0.375,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.2349,1.7846
Shalini Masood,0.3333,1.5,1.5,0.5,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Anjana Priyadarshini,0.1111,1.5,0.75,1.0,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,1.0958,1.428
Swarag Verma,0.4444,0.5,0.375,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.8
Bhoopendra Kidwai,0.5556,1.5,0.375,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Manvendra Magdum,0.6667,1.0,1.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Geetika Prasad,0.2222,1.5,0.75,1.0,0.3333,1.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Sapna Chaurasiya,0.2222,1.5,1.125,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Shriya Bhadauriya,0.3333,1.5,1.125,0.75,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,1.8
Gurvansh Ahmad,0.2222,1.0,0.375,1.0,0.3333,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Ravinderpreet Bapna,0.4444,1.5,0.375,0.5,0.3333,0.5,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,-1.428,1.0958
Laxmi Bhadouriya,0.2222,1.0,1.125,0.75,1.0,1.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2349,1.7846
Palata Munir,0.3333,0.5,1.125,0.75,0.3333,0.5,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6888,1.663
Rouby Hanif,0.5556,1.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-1.0958,1.428
Mahendra Purwar,0.3333,1.0,1.125,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,1.8
Jivani Tulshidas,0.5556,1.5,0.75,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Vidit Kashyap,0.7778,0.5,0.75,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.6888,1.663
Priyesh Ahuja,0.7778,0.0,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Soniya Hasija,0.4444,1.5,0.375,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.4659,1.7387
Eshma Desabathula,0.5556,1.5,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.8
Siddhi Praveenchand,0.2222,1.0,0.75,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Shaqib Attraa,0.2222,1.0,0.75,0.25,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.4659,1.7387
Ashay Kanojia,0.2222,1.5,1.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Hemanshu Azmi,0.1111,2.0,1.125,0.75,0.0,0.5,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Yashika Dhindhwal,0.4444,0.5,0.375,0.5,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.2349,1.7846
Nirlipta Sachan,0.3333,1.0,0.75,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-1.0958,1.428
Jenamani Souza,0.5556,1.5,0.375,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Jaya Joseph,0.3333,1.0,1.125,0.75,0.3333,1.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8
Amrita Pathak,0.0,1.0,1.5,0.75,0.3333,1.0,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Anshika Verma,0.3333,1.0,0.375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Uday Puri,0.4444,0.5,0.0,0.25,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.6888,1.663
Ramadoss Mahmood,0.0,1.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.6888,1.663
Amrit Dev,0.6667,1.5,0.375,0.25,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,1.2728,1.2728
Monish Keshwani,0.6667,0.5,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,1.8
Srijan Kulal,0.3333,1.0,0.75,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.4659,1.7387
Jag Bhatnagar,0.6667,1.5,0.375,0.25,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Babli Chaturvedi,0.3333,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Shalin Thakur,0.4444,1.0,1.125,0.5,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Aakanksha Raykar,0.0,0.5,1.125,0.75,0.6667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.9,1.5588
Shakkil Jeykumaran,0.5556,1.0,0.75,0.5,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Bramoni Mahajan,0.6667,2.0,0.75,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Janhvi Tibrewal,0.3333,1.0,1.125,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.6888,1.663
Pragun Francis,0.5556,2.0,0.375,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,1.8
Abhisikta Durgavansh,0.5556,1.0,0.375,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Amisha Gayathri,0.4444,1.5,0.75,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Mahesh Mhaske,0.5556,2.0,0.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.2349,1.7846
Nishchay Bhadauriya,0.0,0.5,1.125,0.75,0.6667,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Sugathan Mittal,0.5556,1.0,0.75,0.5,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.9,1.5588
Zufeshan Menon,0.5556,1.0,0.0,0.25,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.4659,1.7387
Nishchay Tomar,0.1111,1.0,1.125,0.75,0.6667,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.9,1.5588
